Time [s];Altitude [ft];Latitude [°];Longitude [°]
80,5;2 467;NaN;NaN
80,8;2 461;NaN;NaN
81;2 457;NaN;NaN
81,2;2 451;NaN;NaN
81,5;2 448;NaN;NaN
81,8;2 444;NaN;NaN
82;2 441;NaN;NaN
82,2;2 438;NaN;NaN
82,5;2 431;NaN;NaN
82,8;2 425;NaN;NaN
83;2 418;NaN;NaN
83,2;2 415;NaN;NaN
83,5;2 408;NaN;NaN
83,8;2 398;NaN;NaN
84;2 392;NaN;NaN
84,2;2 385;NaN;NaN
84,5;2 379;NaN;NaN
84,8;2 369;NaN;NaN
85;2 359;NaN;NaN
85,2;2 352;NaN;NaN
85,5;2 343;NaN;NaN
85,8;2 333;NaN;NaN
86;2 323;NaN;NaN
86,2;2 313;NaN;NaN
86,5;2 306;NaN;NaN
86,8;2 300;NaN;NaN
87;2 293;NaN;NaN
87,2;2 287;NaN;NaN
87,5;2 280;NaN;NaN
87,8;2 274;NaN;NaN
88;2 274;NaN;NaN
88,2;2 270;NaN;NaN
88,5;2 267;NaN;NaN
88,8;2 260;NaN;NaN
89;2 257;NaN;NaN
89,2;2 254;NaN;NaN
89,5;2 251;NaN;NaN
89,8;2 247;NaN;NaN
90;2 247;NaN;NaN
90,2;2 241;NaN;NaN
90,5;2 234;NaN;NaN
90,8;2 228;NaN;NaN
91;2 224;NaN;NaN
91,2;2 221;NaN;NaN
91,5;2 211;NaN;NaN
91,8;2 205;NaN;NaN
92;2 198;NaN;NaN
92,2;2 192;NaN;NaN
92,5;2 188;NaN;NaN
92,8;2 182;NaN;NaN
93;2 178;NaN;NaN
93,2;2 172;NaN;NaN
93,5;2 169;NaN;NaN
93,8;2 165;NaN;NaN
94;2 165;NaN;NaN
94,2;2 162;NaN;NaN
94,5;2 159;NaN;NaN
94,8;2 156;NaN;NaN
95;2 152;NaN;NaN
95,2;2 149;NaN;NaN
95,5;2 142;NaN;NaN
95,8;2 139;NaN;NaN
96;2 136;NaN;NaN
96,2;2 129;NaN;NaN
96,5;2 119;NaN;NaN
96,8;2 106;NaN;NaN
97;2 087;NaN;NaN
97,2;2 073;NaN;NaN
97,5;2 060;NaN;NaN
97,8;2 047;NaN;NaN
98;2 034;NaN;NaN
98,2;2 021;NaN;NaN
98,5;2 005;NaN;NaN
98,8;1 991;NaN;NaN
99;1 982;NaN;NaN
99,2;1 965;NaN;NaN
99,5;1 955;NaN;NaN
99,8;1 946;NaN;NaN
100;1 939;NaN;NaN
100,2;1 932;NaN;NaN
100,5;1 923;NaN;NaN
100,8;1 913;NaN;NaN
101;1 909;NaN;NaN
101,2;1 909;NaN;NaN
101,5;1 906;NaN;NaN
101,8;1 906;NaN;NaN
102;1 906;NaN;NaN
102,2;1 906;NaN;NaN
102,5;1 906;NaN;NaN
102,8;1 906;NaN;NaN
103;1 903;NaN;NaN
103,2;1 903;NaN;NaN
103,5;1 900;NaN;NaN
103,8;1 900;NaN;NaN
104;1 896;NaN;NaN
104,2;1 893;NaN;NaN
104,5;1 890;NaN;NaN
104,8;1 883;NaN;NaN
105;1 880;NaN;NaN
105,2;1 873;NaN;NaN
105,5;1 864;NaN;NaN
105,8;1 857;NaN;NaN
106;1 847;NaN;NaN
106,2;1 837;NaN;NaN
106,5;1 827;NaN;NaN
106,8;1 818;NaN;NaN
107;1 808;NaN;NaN
107,2;1 798;NaN;NaN
107,5;1 788;NaN;NaN
