millis,lat,long,h_msl,baro_alt,speed_h,speed_v,heading,accel,temp,press,num_satellites
# { "g_press": 100892.45, "g_temp": 23.27, "datetime": "2022-10-16T14:42:20Z", "fw_version": "0.4.1-gps-testing+git-7ae69c7" }
# Switched to mode: Climb
822624,464530860,-726724016,2135835,2175.8904,66322,-4313,2875349,,27.44,78034,15
822680,464531153,-726723784,2136047,2176.3633,66266,-3999,2871982,,27.44,78030,15
822736,464531447,-726723552,2136262,2176.3633,66220,-4113,2868790,,27.44,78030,15
822792,464531740,-726723322,2136480,2176.7112,66095,-4350,2856504,,27.44,78026,15
822848,464532031,-726723090,2136756,2177.138,66151,-4416,2886204,,27.44,78022,15
822904,464532325,-726722858,2136976,2177.4832,66482,-4198,2859618,,27.44,78019,15
822960,464532618,-726722627,2137210,2177.7195,66288,-4199,2869276,,27.44,78017,15
823016,464532910,-726722395,2137463,2178.2224,66238,-4239,2877890,,27.44,78012,15
823072,464533202,-726722163,2137708,2178.6953,66218,-4233,2875088,,27.44,78008,15
823128,464533494,-726721931,2137962,2178.9944,66157,-4306,2875572,,27.44,78005,15
823184,464533787,-726721701,2138213,2179.4456,66242,-4600,2859014,,27.44,78001,15
823240,464534078,-726721469,2138458,2179.758,66077,-4561,2885724,,27.44,77998,15
823296,464534369,-726721237,2138705,2179.758,66095,-4550,2883553,,27.44,77998,15
823352,464534664,-726721006,2138931,2179.8262,66448,-4475,2856545,,27.44,77997,15
823408,464534958,-726720775,2139128,2179.9702,66355,-4433,2855594,,27.44,77996,15
823464,464535250,-726720543,2139342,2179.894,66246,-4647,2888275,,27.44,77996,15
823520,464535542,-726720311,2139604,2179.9023,66270,-4634,2874541,,27.44,77996,15
823576,464535835,-726720078,2139854,2180.1658,66400,-4531,2875046,,27.44,77994,15
823632,464536127,-726719847,2140088,2180.3235,66160,-4496,2872018,,27.44,77992,15
823688,464536419,-726719615,2140317,2180.6958,66142,-4568,2887175,,27.44,77989,15
